2017-12-04 20:10,b'UPDATE: Saskatoon police say a man is in critical but stable condition after he was stabbed multiple times early Su\xe2\x80\xa6 https://t.co/PwBqPgayUT'
,
2017-12-04 20:09,b'City of Saskatoon thwarted in bid to pay administration costs from pension plan https://t.co/qyWImohIND https://t.co/qyUhnuUkJg'
,
2017-12-04 20:09,b'RT @ACPC_Reg5: The WCCRRC (Western Canada Canola / Research Recommending Committee) Pathology Sub Committee has gathered today in Saskatoon\xe2\x80\xa6'
,
2017-12-04 20:08,"b'RT @SteelworkersCA: .@USW_District_3 Taxi Council &amp; USW LU 2014 is rallying outside Saskatoon City Hall on Tues, Dec 5 @ 2pm local time. It\xe2\x80\xa6'"
,
2017-12-04 20:08,"b""DowntownWpgBIZ: RT TheForks: Here we go! It's holiday party season. \xe2\x9c\xa8 Whether you're hosting or guesting, you want\xe2\x80\xa6 https://t.co/3wyvVmQMFq"""
,
2017-12-04 20:08,b'@Corythewelder @TheGloriousSons @grandsonsucks As was the show in Saskatoon!! Will not miss another Glorious Sons s\xe2\x80\xa6 https://t.co/Esr58BtGlr'
,
2017-12-04 20:05,b'Mon 14:00: Light Snow; Temp -9.4 C; Windchill -17; Wind NNW 17 km/h; Humidity 90%; Press 102.3 kPa / rising. https://t.co/aiR2IK8hue'
,
2017-12-04 20:04,"b""RT @TheForks: Here we go! It's holiday party season. \xe2\x9c\xa8 Whether you're hosting or guesting, you want to make it as special as possible. We'v\xe2\x80\xa6"""
,
2017-12-04 20:04,"b'Need to schedule a service call? Click here or call 306-374-6610 for Saskatoon, or 306-721-7077 in Regina!\xe2\x80\xa6 https://t.co/1JB5cJHVcC'"
,
2017-12-04 20:02,"b'RT @StoonCrimeStop: ""Smile! You\'re on Crime Stoppers"" sticker campaign launching next week in partnership with @KINSMENCLUB of Saskatoon.\xe2\x80\xa6'"
,
2017-12-04 20:02,"b'RT @SteelworkersCA: .@USW_District_3 Taxi Council &amp; USW LU 2014 is rallying outside Saskatoon City Hall on Tues, Dec 5 @ 2pm local time. It\xe2\x80\xa6'"
,
